nomor_ayat,google_translate
129,Kepunyaan Allah-lah apa yang ada di langit dan apa yang ada di bumi. Dia mengampuni siapa yang Dia kehendaki dan menyiksa siapa yang Dia kehendaki. Dan Allah Maha Pengampun lagi Maha Penyayang.
130," Hai orang-orang yang beriman, janganlah kamu memakan riba dengan cara berlipat ganda dan bertakwalah kepada Allah agar kamu mendapat keberuntungan."
131, Dan peliharalah dirimu dari api neraka yang disediakan untuk orang-orang kafir.
132," Dan taatilah Allah dan Rasul, supaya kamu mendapat rahmat."
133, ۞ Dan bersegeralah kamu kepada ampunan dari Tuhanmu dan kepada surga yang luasnya seluas langit dan bumi yang disediakan untuk orang-orang yang bertakwa.
134,"(Yaitu) orang-orang yang menafkahkan hartanya, di waktu lapang dan sempit, dan mereka yang menahan amarahnya dan memaafkan kesalahan orang lain. Dan Allah menyukai orang-orang yang berbuat baik."
135," Dan orang-orang yang apabila mereka mengerjakan suatu perbuatan keji atau menganiaya diri mereka sendiri, mereka mengingat Allah dan memohon ampunan bagi dosa-dosa mereka. Dan Allah tidak mengampuni dosa-dosa selain Allah, dan mereka tidak meneruskan perbuatan mereka, padahal mereka mengetahuinya."
136," Mereka yang pahalanya adalah ampunan dari Tuhan mereka dan surga yang mengalir di bawahnya sungai-sungai, mereka kekal di dalamnya. Dan sebaik-baik pahala orang-orang yang beramal."
137,"Telah ada contoh-contoh sebelum kamu, maka berjalanlah di muka bumi dan perhatikanlah bagaimana kesudahan orang-orang yang mendustakan itu."
138, Ini adalah pernyataan yang jelas bagi manusia dan petunjuk serta peringatan bagi orang-orang yang bertakwa.
139," Dan janganlah kamu bersikap lemah dan janganlah kamu bersedih hati; sesungguhnya kamu adalah orang-orang yang paling unggul, jika kamu orang-orang yang beriman."
140," Jika kamu terkena suatu luka, maka sesungguhnya telah menimpa kaum [dahulu] suatu luka yang serupa. Dan pada hari-hari ini Kami bergantian di antara manusia, agar Allah memberi kesaksian kepada orang-orang yang beriman dan agar Allah mengambil saksi-saksi dari antara kamu. Dan Allah tidak menyukai orang-orang yang zalim."
141,Dan agar Allah membersihkan orang-orang yang beriman dan membinasakan orang-orang yang kafir.
142," Atau apakah kamu mengira bahwa kamu akan masuk surga, padahal Allah belum nyata orang-orang yang berjihad di antara kamu dan belum nyata orang-orang yang sabar?"
143," Dan kamu telah mengharapkan kematian sebelum kamu menemuinya, tetapi sekarang kamu telah melihatnya saat kamu sedang melihatnya."
144,"Dan Muhammad itu tidak lain hanyalah seorang rasul; telah berlalu sebelumnya banyak rasul. Maka jika dia wafat atau terbunuh, apakah kamu akan berbalik? Dan barangsiapa yang berbalik, maka hal itu tidak akan merugikan Allah sedikit pun. Dan Allah akan memberi balasan kepada orang-orang yang bersyukur."
145," Sesungguhnya tiada jiwa yang akan mati kecuali dengan izin Allah pada waktu yang telah ditentukan. Dan barangsiapa yang menghendaki pahala dunia, Kami akan memberinya pahala; dan barangsiapa yang menghendaki pahala akhirat, Kami akan memberinya pahala. Dan Kami akan memberi pahala kepada orang-orang yang bersyukur."
146,"Dan betapa banyak nabi yang berperang bersamanya, banyak orang saleh, namun mereka tidak pernah patah semangat karena musibah yang menimpa mereka di jalan Allah, tidak pula mereka menjadi lemah dan tidak pula mereka merendahkan diri. Dan Allah mencintai orang-orang yang sabar."
147," Dan ucapan mereka hanyalah: ""Ya Tuhan kami, ampunilah dosa-dosa kami dan pelanggaran-pelanggaran kami dalam perbuatan kami, dan teguhkanlah kaki-kaki kami dan berikanlah kemenangan kepada kami atas orang-orang yang kafir."""
148, Maka Allah memberikan mereka pahala di dunia dan pahala yang sebaik-baiknya di akhirat. Dan Allah menyukai orang-orang yang berbuat baik.
149,"Hai orang-orang yang beriman, jika kamu menaati orang-orang kafir, niscaya mereka akan membalikkan kamu ke belakang, dan jadilah kamu orang-orang yang merugi."
150," Bahkan, Allah adalah Pelindungmu dan Dia adalah sebaik-baik Penolong."
151," Kami akan masukkan rasa takut ke dalam hati orang-orang kafir, disebabkan mereka mempersekutukan Allah, padahal Allah tidak menurunkan keterangan apa pun untuk itu. Tempat berlindung mereka adalah neraka, dan seburuk-buruk tempat tinggal orang-orang yang zalim."
152,"Dan Allah telah memenuhi janji-Nya kepadamu ketika kamu menindas mereka dengan izin-Nya, hingga kamu kehilangan keberanian dan berselisih dalam perkara itu dan durhaka setelah Allah memperlihatkan kepadamu apa yang kamu cintai, di antara kamu ada yang menghendaki dunia dan di antara kamu ada yang menghendaki akhirat. Kemudian Dia memalingkan kamu dari mereka untuk menguji kamu; dan sesungguhnya Dia telah memaafkanmu, dan Allah Maha Kaya. Atas orang-orang yang beriman."
153,"۞ (Ingatlah), ketika kamu sedang berjalan (ke tempatmu) dan kamu tidak melihat kepada seorang pun, padahal Rasul telah memanggil kamu ke akhir hayatmu. Maka Dia membalas kamu dengan kesedihan yang dibalas dengan kesedihan, agar kamu tidak bersedih hati terhadap apa yang luput darimu dan terhadap apa yang telah menimpamu. Dan Allah Maha Mengetahui apa yang kamu kerjakan."
154,"Kemudian, setelah kesusahan itu, Dia menurunkan kepadamu rasa aman - rasa kantuk yang menimpa sebagian dari kamu, sementara sebagian yang lain mengkhawatirkan diri mereka sendiri. Mereka beranggapan tentang Allah selain kebenaran - anggapan jahiliyah. Mereka berkata, ""Apakah kami memiliki andil dalam urusan ini?"" Katakanlah, ""Sesungguhnya urusan ini semuanya milik Allah."" Mereka menyembunyikan dalam diri mereka apa yang tidak mereka nyatakan kepadamu. Mereka berkata, ""Seandainya kami memiliki kendali atas urusan ini, niscaya kami tidak akan dibunuh di sini. Katakanlah, ""Seandainya kamu berada di rumah-rumahmu, niscaya orang-orang yang telah ditetapkan mati akan datang ke tempat-tempat kematian mereka agar Allah menguji apa yang ada dalam dadamu dan membersihkan apa yang ada dalam hatimu. Dan Allah Maha Mengetahui apa yang ada dalam dada."""
155,"Sesungguhnya orang-orang yang berpaling di antara kamu pada hari kedua pasukan itu bertemu, sesungguhnya setanlah yang menyesatkan mereka karena sebagian dari apa yang telah mereka usahakan. Padahal Allah telah mengampuni mereka. Sesungguhnya Allah Maha Pengampun lagi Maha Penyantun."
156," Hai orang-orang yang beriman, janganlah kamu seperti orang-orang yang kafir dan berkata tentang saudara-saudara mereka ketika mereka bepergian di muka bumi atau sedang berperang, ""Seandainya mereka bersama kita, niscaya mereka tidak akan mati dan tidak pula terbunuh,"" agar Allah menjadikan hal itu penyesalan di dalam hati mereka. Dan Allah menghidupkan dan mematikan, dan Allah Maha Melihat apa yang kamu kerjakan."
157,"Dan jika kamu terbunuh di jalan Allah atau mati, maka ampunan dari Allah dan rahmat adalah lebih baik dari apa yang mereka kumpulkan."
158," Dan jika kamu meninggal atau terbunuh, sesungguhnya kamu akan dikumpulkan kepada Allah."
159," Maka, dengan rahmat Allah, kamu berlaku lemah lembut terhadap mereka. Seandainya kamu berlaku kasar dan keras hati, niscaya mereka akan menjauh darimu. Maka maafkanlah mereka, mohonkan ampun bagi mereka, dan bermusyawarahlah dengan mereka dalam masalah ini. Dan apabila kamu telah mengambil keputusan, maka bertawakallah kepada Allah. Sesungguhnya Allah menyukai orang-orang yang bertawakal."
160,"Jika Allah menolongmu, niscaya tidak ada yang dapat mengalahkanmu. Tetapi jika Dia membiarkanmu, siapakah yang dapat menolongmu setelah-Nya? Dan hendaklah orang-orang yang beriman bertawakal kepada Allah."
161," Tidaklah pantas bagi seorang nabi untuk mengambil harta rampasan perang. Dan barangsiapa yang mengambil harta rampasan perang, maka ia akan membawa apa yang telah diambilnya pada Hari Kiamat. Kemudian, setiap jiwa akan diberi balasan yang sempurna atas apa yang telah diperbuatnya, dan mereka tidak akan dizalimi."
162," Apakah orang yang mengejar keridhaan Allah sama dengan orang yang mendatangkan murka Allah atas dirinya, yang tempatnya adalah Jahannam dan seburuk-buruk tempat kembali?"
163," Mereka memiliki beberapa derajat di sisi Allah, dan Allah Maha Melihat apa yang mereka kerjakan."
164,"Sesungguhnya Allah telah memberikan karunia yang besar kepada orang-orang yang beriman ketika Dia mengutus seorang Rasul dari kalangan mereka sendiri di tengah-tengah mereka; Dia membacakan ayat-ayat-Nya kepada mereka, menyucikan mereka dan mengajarkan mereka Kitab dan Hikmah, meskipun sebelumnya mereka benar-benar dalam kesesatan yang nyata."
165," Atau ketika kamu ditimpa suatu musibah, padahal kamu telah menimpakan dua kali lipatnya, kamu berkata: ""Dari manakah ini?"" Katakanlah: ""Ini dari (kesalahan) dirimu sendiri."" Sesungguhnya Allah Maha Kuasa atas segala sesuatu."
166," Dan apa saja yang menimpa kamu pada hari bertemunya dua pasukan, maka adalah dengan izin Allah dan agar Dia memberi keterangan kepada orang-orang yang beriman."
167,"Dan agar orang-orang munafik mengetahui, dan dikatakan kepada mereka, ""Marilah berperang di jalan Allah atau belalah dirimu,"" mereka berkata, ""Seandainya kami tahu tentang peperangan, niscaya kami mengikutimu."" Mereka lebih dekat kepada kekufuran pada hari itu daripada kepada iman. Mereka mengatakan dengan mulut mereka apa yang tidak ada dalam hati mereka. Dan Allah Maha Mengetahui apa yang mereka sembunyikan."
168," Orang-orang yang berkata kepada saudara-saudara mereka ketika mereka sedang duduk: ""Seandainya mereka menaati kami, niscaya mereka tidak akan dibunuh."" Katakanlah: ""Maka jauhkanlah dari dirimu kematian, jika kamu orang-orang yang benar."""
169,"Dan janganlah sekali-kali mengira bahwa orang-orang yang gugur di jalan Allah itu mati. Akan tetapi, mereka itu hidup di sisi Tuhan mereka, dan mereka diberi rezeki."
170," Mereka bergirang hati terhadap karunia yang telah diberikan Allah kepada mereka, dan mereka bergirang hati terhadap orang-orang yang belum menyusul mereka dari belakang mereka, bahwa tidak ada kekhawatiran terhadap mereka dan tidak (pula) mereka bersedih hati."
171, ۞ Mereka bergembira karena karunia Allah dan karena Allah tidak menyia-nyiakan pahala orang-orang yang beriman.
172," Orang-orang yang menaati perintah Allah dan Rasul setelah mereka ditimpa luka. Bagi orang-orang yang mengerjakan amal saleh di antara mereka dan bertakwa kepada Allah, bagilah pahala yang besar."
173,"Orang-orang yang kepadanya manusia berkata: ""Sesungguhnya manusia telah mengumpulkan kekuatan untuk menyerang kamu, maka takutlah kepada mereka."" Akan tetapi, hal itu tidak lain hanyalah menambah keimanan mereka, dan mereka berkata: ""Cukuplah Allah bagi kami dan Dia adalah sebaik-baik Pemelihara."""
174," Maka mereka kembali dengan nikmat dan karunia dari Allah. Mereka tidak ditimpa bahaya apa pun, dan mereka mengejar keridhaan Allah. Dan Allah Maha Besar karunia-Nya."
175," Yang demikian itu hanyalah setan yang menakut-nakuti para pengikutnya, maka janganlah kamu takut kepada mereka, tetapi takutlah kepada-Ku, jika kamu orang-orang yang beriman."
176,"Dan janganlah orang-orang yang tergesa-gesa masuk ke dalam kekufuran itu menyusahkanmu. Sesungguhnya mereka tidak akan dapat mendatangkan mudharat kepada Allah sedikit pun. Allah tidak bermaksud memberi mereka bagian apa pun di akhirat, dan bagi mereka azab yang besar."
177," Sesungguhnya orang-orang yang membeli kekafiran dengan iman, mereka tidak akan dapat mendatangkan mudharat kepada Allah sedikit pun, dan bagi mereka azab yang pedih."
178," Dan janganlah orang-orang kafir mengira bahwa penangguhan Kami kepada mereka lebih baik bagi mereka. Sesungguhnya Kami memberi penangguhan kepada mereka, agar mereka bertambah dosanya, dan bagi mereka azab yang menghinakan."
179,"Allah tidak akan membiarkan orang-orang beriman seperti keadaanmu saat ini, hingga Dia membedakan yang jahat dari yang baik. Dan Allah tidak akan memberitahukan kepadamu tentang yang gaib, tetapi Allah memilih siapa yang Dia kehendaki dari antara para rasul-Nya. Maka berimanlah kepada Allah dan para rasul-Nya. Dan jika kamu beriman dan bertakwa kepada Allah, niscaya bagimu pahala yang besar."
180,"Dan janganlah orang-orang yang menahan apa yang telah Allah berikan kepada mereka dari karunia-Nya, mengira bahwa itu baik bagi mereka. Bahkan, itu buruk bagi mereka. Mereka akan dikepung oleh apa yang mereka tahan pada Hari Kiamat. Dan kepunyaan Allah-lah warisan langit dan bumi. Dan Allah Maha Mengetahui apa yang kamu kerjakan."
181," Sesungguhnya Allah telah mendengar ucapan orang-orang yang berkata, “Sesungguhnya Allah itu fakir, dan kamilah yang kaya.” Sungguh, Kami akan mencatat apa yang mereka katakan dan pembunuhan mereka terhadap para nabi tanpa alasan yang benar, dan Kami akan berkata, “Rasakanlah azab api yang menyala-nyala.”"
182,"Yang demikian itu adalah karena apa yang telah diperbuat oleh tanganmu, dan karena sesungguhnya Allah sekali-kali tidak berlaku zalim terhadap hamba-hamba-Nya."
183," Orang-orang yang berkata, ""Sesungguhnya Allah telah memerintahkan kepada kami, bahwa kami tidak akan beriman kepada seorang rasul pun sebelum dia mendatangkan untuk kami persembahan yang dibakar api."" Katakanlah, ""Telah datang kepadamu beberapa rasul sebelum aku dengan membawa bukti-bukti yang nyata dan apa yang telah kamu katakan. Maka mengapa kamu membunuh mereka, jika kamu memang orang-orang yang benar?"""
184," Jika mereka mengingkari kamu, maka sesungguhnya telah diingkari sebelumnya para rasul. Mereka membawa bukti-bukti yang nyata, kitab suci, dan Kitab yang mencerahkan."
185,"Setiap jiwa akan merasakan mati, dan kamu tidak akan diberi balasan yang sempurna kecuali pada Hari Kiamat. Maka, barangsiapa yang dijauhkan dari api neraka dan dimasukkan ke dalam surga, maka ia telah mencapai [keinginannya]. Dan tiadalah kehidupan dunia ini selain kenikmatan yang menipu."
186," ۞ Kamu pasti akan diuji terhadap hartamu dan dirimu sendiri, dan kamu pasti akan mendengar dari orang-orang yang diberi Kitab sebelum kamu dan dari orang-orang yang mempersekutukan Allah, banyak sekali kecaman. Tetapi jika kamu bersabar dan bertakwa, sesungguhnya yang demikian itu termasuk perkara-perkara yang patut diputuskan."
187,"Dan ingatlah ketika Allah mengambil perjanjian dari orang-orang yang diberi Kitab Suci, ""Kamu harus menjelaskannya kepada manusia dan janganlah kamu menyembunyikannya."" Tetapi mereka melemparkannya ke belakang punggung mereka dan mereka membeli dengannya dengan harga yang sedikit. Maka buruklah apa yang mereka beli."
188, Jangan pernah berpikir bahwa orang-orang yang bersukacita atas apa yang telah mereka lakukan dan senang dipuji atas apa yang tidak mereka lakukan akan aman dari hukuman. Dan mereka akan menerima hukuman yang pedih.
189," Kepunyaan Allah-lah kerajaan langit dan bumi, dan Allah Maha Kuasa atas segala sesuatu."
190,Sesungguhnya dalam penciptaan langit dan bumi dan silih bergantinya malam dan siang terdapat tanda-tanda bagi orang-orang yang berakal.
191," Orang-orang yang mengingat Allah sambil berdiri, duduk, dan berbaring, serta merenungkan penciptaan langit dan bumi, seraya berkata, ""Ya Tuhan kami, Engkau tidak menciptakan ini sia-sia. Maha Suci Engkau! Maka lindungilah kami dari siksa api neraka."""
192," Ya Tuhan kami, sesungguhnya siapa saja yang telah Kau masukkan ke dalam neraka, maka sungguh Engkau telah menghinakannya. Dan bagi orang-orang yang zalim itu sekali-kali tidak ada seorang penolong pun."
193,"Ya Tuhan kami, sungguh kami telah mendengar seruan untuk beriman, ""Percayalah kepada Tuhanmu,"" lalu kami pun beriman. Ya Tuhan kami, ampunilah dosa-dosa kami, tutupilah kesalahan-kesalahan kami, dan matikanlah kami bersama orang-orang yang saleh."
194," Ya Tuhan kami, berikanlah kepada kami apa yang telah Engkau janjikan kepada kami melalui para utusan-Mu, dan janganlah Engkau hina kami pada Hari Kiamat. Sesungguhnya, Engkau tidak akan menyalahi janji-Mu."
195,"Maka Tuhan mereka menjawab mereka, ""Aku sekali-kali tidak akan menyia-nyiakan amal orang-orang yang beramal di antara kamu, baik laki-laki maupun perempuan. Sebagian kamu adalah bagian dari sebagian yang lain. Maka orang-orang yang berhijrah, yang diusir dari kampung halaman mereka, yang disakiti di jalan-Ku, yang berperang, atau yang terbunuh, pasti akan Aku hapus kesalahan-kesalahan mereka dan Aku masukkan mereka ke dalam surga yang mengalir di bawahnya sungai-sungai."" (QS. Al-Baqarah: 11) Sebagai pahala dari Allah, dan di sisi Allah-lah pahala yang sebaik-baiknya."
196, Janganlah kamu tertipu oleh gerakan orang-orang kafir di seluruh negeri.
197," Kenikmatan yang sesaat, kemudian tempat kembali mereka ialah Jahannam dan seburuk-buruk tempat kembali."
198,"Tetapi orang-orang yang bertakwa kepada Tuhan mereka, bagi mereka surga yang mengalir di bawahnya sungai-sungai; mereka kekal di dalamnya; sebagai ketetapan dari Allah. Dan apa yang ada di sisi Allah adalah lebih baik bagi orang-orang yang bertakwa."
199," Dan sesungguhnya di antara Ahli Kitab ada orang-orang yang beriman kepada Allah dan kepada apa yang diturunkan kepadamu dan apa yang diturunkan kepada mereka, dengan khusyuk kepada Allah. Mereka tidak menukar ayat-ayat Allah dengan harga yang sedikit. Mereka itu akan memperoleh pahala di sisi Tuhan mereka. Sesungguhnya Allah sangat cepat perhitungan-Nya."
200,"Hai orang-orang yang beriman, bersabarlah dan bersabarlah, serta tetaplah berdiri dan bertakwalah kepada Allah agar kamu beruntung."
